Electorate,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Not stated,Not applicable,Total
Banks,925,14098,4137,6627,10280,9977,9239,9311,10673,12163,9264,7837,6054,10344,2369,3743,8079,0,135106
Barton,1084,15357,3970,6595,11588,10723,10714,10711,12936,14312,10662,9316,6813,11986,2599,3866,10903,0,154148
Bennelong,835,17664,5376,6916,9387,9081,9545,9143,10454,13482,11399,10492,8210,17083,4389,7398,7731,0,158584
Berowra,676,12998,5062,5721,6904,6852,7475,7320,7900,9465,8055,7641,6204,13735,4187,8519,5101,0,123813
Blaxland,1878,19735,4282,9588,14899,12721,11542,11225,12141,12375,8083,5864,3729,4942,894,1045,15049,0,150001
Bradfield,590,16526,5330,5728,6260,6356,7220,7157,8020,9722,8036,7912,6548,14994,5359,15479,5575,0,136812
Calare,1070,8502,4401,6306,11011,12440,10640,9958,11374,11902,8607,7346,5661,9397,1801,2699,13194,0,136304
Chifley,1672,18134,3934,7523,11962,11051,10101,10772,14068,15980,11621,8900,5879,8694,1430,1328,12322,0,155365
Cook,742,9794,3827,4804,7153,7854,7834,7796,8964,10891,9070,8638,6827,12326,3448,6884,6960,0,123810
Cowper,1004,7896,4748,7997,15617,15486,13955,11765,12425,11977,7561,5982,4257,5996,1107,1944,12348,0,142073
Cunningham,729,9640,4377,6844,11112,11707,10586,9443,10142,11184,8660,7981,6314,11279,2487,4033,7732,0,134240
Dobell,881,9106,4194,6413,11558,12483,11652,10506,11468,12005,8780,6955,5212,7478,1427,2105,9514,0,131734
Eden-Monaro,909,7723,4286,5672,9506,10424,9576,9378,10799,12089,9196,8655,6662,11657,2362,3943,10118,0,132953
Farrer,1269,8330,4461,6648,11899,12451,11420,11368,13850,14138,9217,7317,4971,6724,1147,2091,13710,0,141007
Fowler,1860,18001,3910,9841,16919,13246,10538,9970,11574,11533,7631,5483,3576,4646,785,943,12007,0,142478
Gilmore,980,8066,4803,7078,14716,14302,13115,11392,11505,11605,7772,6292,4644,6811,1313,2491,11168,0,138060
Grayndler,536,8376,2920,3850,6467,6573,6698,6845,7734,10214,9293,8982,7667,17012,5103,12438,7645,0,128354
Greenway,1071,17719,4265,6063,9014,8725,8981,9451,12109,15240,12311,10613,8267,15693,3430,3614,9785,0,156361
Hughes,619,9977,4198,4922,6701,6993,7517,7687,8699,10759,9236,8550,7040,13601,3142,4789,5682,0,120095
Hume,1066,10344,4173,5768,9819,9702,9677,9761,11417,13179,10255,9022,6747,11037,2073,2953,9115,0,136113
Hunter,1100,9815,4464,6870,12306,12978,11783,10727,11843,12552,8529,7231,5528,9883,2069,2494,11118,0,141295
Kingsford Smith,848,13069,3952,5599,8726,8855,8889,8730,10611,13395,11240,10550,8426,16390,4521,9256,11475,0,154528
Lindsay,1152,12384,4083,6079,10027,9919,9980,10110,12909,15379,11927,10131,7176,10897,1855,2071,11623,0,147710
Lyne,1129,7863,4497,7496,15983,15287,13096,11209,10958,10491,6662,5232,3652,5538,1036,1914,10527,0,132575
Macarthur,1430,16208,4212,7276,11688,10713,10784,11154,14162,16399,12477,10103,7070,10416,1702,1988,9846,0,157621
Mackellar,676,9685,4591,4945,6489,7181,8305,8483,9160,11010,8749,8290,6588,12526,4011,9966,6473,0,127120
Macquarie,726,9112,3913,5281,8266,9081,9176,8799,9502,10953,8395,7600,6187,10372,1999,2979,6495,0,118852
McMahon,1925,16095,4111,8879,14466,11896,10473,9463,10934,11803,8626,6759,4633,6507,1170,1294,10931,0,139961
Mitchell,722,16772,5382,6315,7742,7506,7959,8206,9115,11776,10300,10021,8410,18398,5143,8181,5570,0,147523
New England,1317,7594,4189,6900,12212,12633,10527,10065,11819,12154,7378,5756,4127,6496,1169,1859,12896,0,129088
Newcastle,616,8105,4426,6319,10108,11590,10598,9608,11263,12824,10015,8860,6907,12009,2611,4426,8723,0,139005
North Sydney,488,11751,3953,4012,5177,5588,6306,6159,7361,9806,9213,9299,7995,19347,6601,19404,7035,0,139516
Page,1041,7903,4589,7447,15131,15432,13243,11846,13006,12338,7356,5888,3829,5493,900,1603,12943,0,139966
Parkes,1416,6858,3311,5669,10074,11003,8934,8487,10330,10988,7580,6310,4658,7254,1350,2036,17357,0,123625
Parramatta,1217,18714,4229,7431,11208,10687,10640,10962,13451,14995,11407,9869,7298,14106,2672,3103,12830,0,164828
Paterson,933,9566,4657,6938,13357,13174,12487,11246,12462,13524,9267,7609,5583,8703,1550,2015,8376,0,141438
Reid,971,17698,4246,5989,9456,9741,10933,11077,13201,15459,12186,11080,8546,17012,4599,9036,11414,0,172643
Richmond,879,7425,4574,6799,12427,13918,13644,11848,12295,12422,8178,6651,4667,6934,1457,3024,12946,0,140075
Riverina,1139,7479,4200,6415,11464,12257,10406,10221,12028,12483,8139,6813,4888,7001,1271,2091,11823,0,130124
Robertson,830,8630,4353,5893,10123,10957,10905,9673,9984,10795,8130,6830,5477,9281,2126,3755,8224,0,125967
Shortland,712,7770,4145,5932,11375,12010,10915,9523,10279,11485,8291,6951,5229,8913,1728,2638,6869,0,124765
Sydney,866,13161,2916,5186,8230,9158,10205,10389,12345,15585,13773,13090,11008,24772,7166,15619,15008,0,188461
Warringah,495,9563,3972,3705,4400,5112,6087,6288,7334,9411,8254,8158,6753,15001,5340,18124,5837,0,123828
Watson,1563,18640,3937,8245,13819,12137,11225,10852,12009,12456,8475,6675,4680,7237,1505,2218,12719,0,148398
Wentworth,512,8418,2611,2909,3719,4255,5159,5595,6763,8888,8089,8388,7477,16305,5840,20071,9257,0,124257
Werriwa,1853,19052,4898,9092,13727,11301,10147,10577,12763,14212,10384,8316,5674,8088,1470,1626,11024,0,154210
Whitlam,982,10070,4409,6707,12361,12865,11335,10683,11528,12592,8900,7492,5457,9030,1742,2787,8295,0,137237
No usual address (NSW),86,642,230,689,1033,866,624,559,528,482,291,235,165,262,57,131,3230,0,10112
