Electorate,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Not stated,Not applicable,Total
Cowper,990,7740,4636,7849,15443,15324,13763,11563,12190,11717,7406,5791,4146,5802,1047,1853,12222,27596,167076
Cunningham,887,10688,4769,7664,12715,13280,11856,10415,11215,12297,9368,8535,6717,11840,2565,4140,8739,30392,178088
Dobell,882,9078,4182,6395,11549,12446,11629,10478,11435,11982,8754,6930,5212,7467,1425,2091,9479,30923,162337
Eden-Monaro,882,7896,4254,5862,10084,11069,10083,9824,11240,12501,9339,8552,6443,11104,2104,3553,10725,28403,163903
Farrer,1269,8330,4461,6648,11899,12451,11420,11368,13850,14138,9217,7317,4971,6724,1147,2091,13710,32105,173116
Fowler,1932,18641,4095,10225,17721,13763,10976,10301,11999,11993,7924,5731,3744,4892,838,981,12240,32199,180214
Gilmore,972,7946,4708,6954,14401,14036,12881,11196,11309,11398,7671,6204,4583,6747,1305,2459,10994,25472,161247
Grayndler,689,10554,3481,4990,8622,8476,8525,8364,9606,12210,10820,10173,8402,17834,4749,9569,9094,24610,170759
Greenway,780,14489,3660,4726,6560,6418,6882,7338,9381,12216,10458,9361,7388,14727,3339,3737,7572,39533,168565
Hughes,866,11916,4208,5553,7884,7997,8317,8607,10107,11816,9764,8614,6779,12309,2663,3779,6928,33221,161332
Hume,886,10020,3396,4663,7577,6908,7790,7873,9652,11628,9429,8336,6300,10682,2044,2692,6327,35161,151371
Hunter,1041,9351,4190,6671,12175,12705,11510,10553,11564,12246,8301,6847,5200,8940,1836,2299,10384,31774,167583
Kingsford Smith,937,13692,4034,5899,9424,9441,9273,9084,10953,13621,11267,10473,8229,15749,4279,8622,11822,27777,184591
Lindsay,1098,11544,3735,5625,9267,9103,9186,9382,12095,14340,11025,9297,6561,9750,1619,1786,11055,37469,173936
Lyne,1129,7863,4497,7496,15983,15287,13096,11209,10958,10491,6662,5232,3652,5538,1036,1914,10527,24773,157347
Macarthur,1110,12588,3579,5862,9564,8712,8496,8819,11106,12848,9733,7758,5420,7655,1208,1396,7959,36814,160613
Mackellar,728,11148,5264,5591,7268,8053,9327,9556,10366,12469,9942,9447,7437,14256,4617,11675,7211,32360,176719
Macquarie,779,9951,4259,5732,9025,9903,9973,9523,10317,12000,9299,8437,6800,11521,2239,3270,7068,29148,159250
McMahon,1722,16593,4286,8483,14040,11895,10645,10089,12080,13424,10015,7739,5544,7909,1372,1439,10371,36333,183982
Mitchell,676,16272,5297,6206,7641,7350,7836,7896,8696,11183,9660,9420,7828,17329,5002,8380,5280,37675,179625
New England,1490,8737,4695,7640,13472,13859,11663,11069,12978,13375,8170,6498,4730,7824,1475,2149,14436,33557,177826
Newcastle,626,8131,4451,6376,10254,11823,10678,9668,11334,12871,10044,8885,6923,12027,2611,4433,8823,27233,167192
Page,1050,8056,4703,7590,15301,15599,13426,12042,13241,12599,7515,6074,3941,5684,954,1695,13077,29353,171908
Parkes,1620,8064,3980,6699,11960,13014,10619,10140,12165,12838,8833,7372,5443,8548,1557,2384,19461,36683,181379
Parramatta,982,19677,4707,7362,10775,10380,10342,10706,13451,15623,12212,10992,8348,16729,3475,4156,11163,40632,211733
Paterson,837,8725,4356,6246,11969,11725,11324,10188,11279,12310,8517,7086,5225,8166,1469,1924,7538,31039,159939
Reid,971,17698,4246,5989,9456,9741,10933,11077,13201,15459,12186,11080,8546,17012,4599,9036,11414,29170,201820
Richmond,879,7425,4574,6799,12427,13918,13644,11848,12295,12422,8178,6651,4667,6934,1457,3024,12946,27361,167436
Riverina,1240,8371,4698,6883,11897,12942,11035,10848,12777,13560,8988,7834,5718,8401,1682,2719,12489,33377,175452
Robertson,829,8652,4363,5908,10139,10989,10928,9699,10017,10817,8150,6858,5482,9296,2132,3763,8262,26065,152356
Shortland,730,8032,4264,6142,11777,12493,11320,9836,10696,11903,8562,7177,5381,9127,1753,2667,7080,28063,157009
Sydney,895,14084,3294,5509,8484,9458,10408,10499,12354,15649,13840,13171,11190,25246,7559,17553,14149,19914,213261
Warringah,579,10914,4210,4047,4991,5748,6988,7122,8427,11162,10357,10402,8887,20639,7247,22985,7486,29437,181612
Watson,1855,20415,4097,9433,15402,13212,11793,11475,12500,12631,8225,6161,3942,5455,988,1295,14467,40166,193515
Wentworth,610,9729,3061,3537,4738,5459,6459,6986,8531,11336,10349,10702,9487,20825,7272,23678,11880,24722,179353
Werriwa,1583,16125,3900,7778,11848,9427,8419,8792,10576,11799,8651,7008,4717,6724,1177,1306,8909,37724,166468
Whitlam,922,9786,4406,6379,11595,12160,10948,10618,11398,12513,8925,7586,5524,9186,1831,2995,7969,30738,165474
Total,146405,1666409,678750,1001008,1568019,1577344,1508123,1436579,1678119,1864553,1401520,1227849,907812,1573793,366056,662143,1473019,4632354,25369858
