Electorate,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Inadequately described,Not stated,Total
Richmond,2112,69317,996,222,627,1204,76932,822,15205,167436
Riverina,878,103261,1038,1357,56,1625,52687,552,13990,175452
Robertson,1800,75748,1191,727,299,702,62320,587,8986,152356
Shortland,1125,79147,656,513,94,619,66472,522,7854,157009
Sydney,13495,60995,3644,3323,1796,1169,111582,1007,16259,213261
Warringah,3093,79620,2479,1097,1219,826,83184,716,9380,181612
Watson,12651,68289,5408,61991,72,996,26820,353,16942,193515
Wentworth,2703,62011,1081,1073,20554,555,77133,659,13586,179353
Werriwa,13601,80284,8764,26911,28,4870,20780,367,10864,166468
Whitlam,1258,89059,1115,1410,192,692,61837,523,9385,165474
Total,615313,11135634,683737,812797,99882,325083,9867840,97006,1732570,25369858
,,,,,,,,,,
"Data source: Census of Population and Housing, 2021, TableBuilder",,,,,,,,,,
,,,,,,,,,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells.,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright",,,,,,,,,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,,,,,,,,
