Electorate,Q11|Strongly agree,Q11|Somewhat agree,Q11|Neutral,Q11|Somewhat disagree,Q11|Strongly disagree,Q11|Don't know,,,,,,,,,,,,,,,,,,,,,
Scullin,31,21,28,9,10,1,,,,,,,,,,,,,,,,,,,,,
Wannon,24,22,27,13,14,1,,,,,,,,,,,,,,,,,,,,,
Wills,38,28,18,9,6,0,,,,,,,,,,,,,,,,,,,,,
Blair,22,20,27,13,18,1,,,,,,,,,,,,,,,,,,,,,
Bonner,20,23,27,14,14,1,,,,,,,,,,,,,,,,,,,,,
Bowman,20,22,25,15,18,1,,,,,,,,,,,,,,,,,,,,,
Brisbane,23,25,23,14,15,0,,,,,,,,,,,,,,,,,,,,,
Capricornia,18,18,28,15,19,1,,,,,,,,,,,,,,,,,,,,,
Dawson,17,17,27,18,20,1,,,,,,,,,,,,,,,,,,,,,
Dickson,21,22,26,15,16,0,,,,,,,,,,,,,,,,,,,,,
Fadden,20,19,28,14,19,1,,,,,,,,,,,,,,,,,,,,,
Fairfax,20,21,29,15,14,0,,,,,,,,,,,,,,,,,,,,,
Fisher,21,21,26,15,16,1,,,,,,,,,,,,,,,,,,,,,
Flynn,15,16,30,16,23,1,,,,,,,,,,,,,,,,,,,,,
Forde,21,22,27,14,15,1,,,,,,,,,,,,,,,,,,,,,
Griffith,24,26,24,13,12,0,,,,,,,,,,,,,,,,,,,,,
Groom,19,19,27,16,18,1,,,,,,,,,,,,,,,,,,,,,
Herbert,19,19,29,13,19,1,,,,,,,,,,,,,,,,,,,,,
Hinkler,18,19,28,17,18,1,,,,,,,,,,,,,,,,,,,,,
Kennedy,17,19,26,14,23,1,,,,,,,,,,,,,,,,,,,,,
Leichhardt,22,22,28,12,16,1,,,,,,,,,,,,,,,,,,,,,
Lilley,24,25,24,13,13,1,,,,,,,,,,,,,,,,,,,,,
Longman,21,20,29,13,16,0,,,,,,,,,,,,,,,,,,,,,
Maranoa,15,15,28,15,25,1,,,,,,,,,,,,,,,,,,,,,
McPherson,22,22,24,14,16,1,,,,,,,,,,,,,,,,,,,,,
Moncrieff,21,20,27,14,18,0,,,,,,,,,,,,,,,,,,,,,
Moreton,25,24,27,12,12,1,,,,,,,,,,,,,,,,,,,,,
Oxley,24,23,26,12,13,1,,,,,,,,,,,,,,,,,,,,,
Petrie,21,22,27,14,16,1,,,,,,,,,,,,,,,,,,,,,
Rankin,22,20,28,13,16,1,,,,,,,,,,,,,,,,,,,,,
Ryan,22,23,24,16,14,0,,,,,,,,,,,,,,,,,,,,,
Wide Bay,21,21,28,13,17,0,,,,,,,,,,,,,,,,,,,,,
Wright,21,17,28,16,18,1,,,,,,,,,,,,,,,,,,,,,
Adelaide,27,26,22,12,12,1,,,,,,,,,,,,,,,,,,,,,
Barker,17,19,30,17,18,0,,,,,,,,,,,,,,,,,,,,,
Boothby,23,25,25,14,13,0,,,,,,,,,,,,,,,,,,,,,
Grey,18,20,28,15,18,1,,,,,,,,,,,,,,,,,,,,,
Hindmarsh,23,25,25,13,13,1,,,,,,,,,,,,,,,,,,,,,
Kingston,24,24,26,13,12,1,,,,,,,,,,,,,,,,,,,,,
Makin,22,22,27,14,14,1,,,,,,,,,,,,,,,,,,,,,
Mayo,24,24,27,11,14,0,,,,,,,,,,,,,,,,,,,,,
Spence,22,21,29,12,16,1,,,,,,,,,,,,,,,,,,,,,
Sturt,23,25,25,14,13,1,,,,,,,,,,,,,,,,,,,,,
Brand,22,21,29,12,15,1,,,,,,,,,,,,,,,,,,,,,
Bullwinkel,20,23,29,15,13,1,,,,,,,,,,,,,,,,,,,,,
Burt,20,22,29,13,14,1,,,,,,,,,,,,,,,,,,,,,
Canning,19,20,28,16,17,1,,,,,,,,,,,,,,,,,,,,,
Cowan,21,23,28,14,12,0,,,,,,,,,,,,,,,,,,,,,
Curtin,20,25,24,15,15,0,,,,,,,,,,,,,,,,,,,,,
Durack,18,19,28,14,20,1,,,,,,,,,,,,,,,,,,,,,
Forrest,19,24,28,14,15,1,,,,,,,,,,,,,,,,,,,,,
Fremantle,24,24,26,12,13,0,,,,,,,,,,,,,,,,,,,,,
Hasluck,20,24,28,12,16,0,,,,,,,,,,,,,,,,,,,,,
Moore,17,24,26,16,16,1,,,,,,,,,,,,,,,,,,,,,
O'Connor,19,18,30,15,16,1,,,,,,,,,,,,,,,,,,,,,
Pearce,17,21,30,16,15,1,,,,,,,,,,,,,,,,,,,,,
Perth,25,24,24,12,14,0,,,,,,,,,,,,,,,,,,,,,
Swan,21,23,27,14,14,1,,,,,,,,,,,,,,,,,,,,,
Tangney,20,24,27,15,13,0,,,,,,,,,,,,,,,,,,,,,
Bass,20,22,28,14,15,1,,,,,,,,,,,,,,,,,,,,,
Braddon,19,21,30,15,14,0,,,,,,,,,,,,,,,,,,,,,
Clark,30,27,21,12,10,0,,,,,,,,,,,,,,,,,,,,,
Franklin,25,26,26,11,11,1,,,,,,,,,,,,,,,,,,,,,
Lyons,21,23,27,14,15,1,,,,,,,,,,,,,,,,,,,,,
Lingiari,23,19,29,13,15,1,,,,,,,,,,,,,,,,,,,,,
Solomon,21,22,28,14,16,0,,,,,,,,,,,,,,,,,,,,,
Bean,26,26,25,12,10,0,,,,,,,,,,,,,,,,,,,,,
Canberra,30,28,22,11,9,1,,,,,,,,,,,,,,,,,,,,,
Fenner,25,26,26,12,10,0,,,,,,,,,,,,,,,,,,,,,
