Electorate,No children,One child,Two children,Three children,Four children,Five children,Six children,Seven children,Eight or more children,Not stated,Not applicable,Total
Moreton,26517,9715,17056,8357,3064,984,427,196,232,3578,98355,168476
Oxley,22122,9850,19201,9916,4300,1804,831,420,472,4365,113242,186519
Petrie,21639,10486,22172,12119,4854,1701,607,267,205,4250,106989,185285
Rankin,20723,9920,18585,10411,4861,1999,941,471,492,5196,113252,186856
Ryan,25893,7812,18896,9416,2814,753,250,94,61,2694,95121,163797
Wide Bay,15374,7168,18512,11314,5029,1678,630,272,250,5141,86868,152236
Wright,18676,8329,19918,12365,5354,1849,698,305,236,5213,108718,181665
Banks,22187,10119,20377,10033,3597,1122,420,182,184,4505,98614,171343
Barton,32059,13325,20069,8576,2964,1018,362,183,161,5958,114146,198827
Bennelong,32576,13178,21028,8454,2459,684,254,81,70,4430,109949,193177
Berowra,23962,12041,25487,11567,3656,830,287,109,107,3296,112501,193842
Blaxland,26132,9752,15276,9403,5341,2507,1233,602,559,7829,125610,204250
Bradfield,25771,12380,25443,11308,2988,664,206,69,66,2955,111041,192900
Calare,17263,7031,17696,12574,5597,1791,693,297,264,5410,100624,169232
Chifley,18959,9401,16607,9521,4688,1856,901,416,470,5541,107028,175396
Cook,20412,8155,20277,10572,3073,718,192,74,60,3365,89558,156462
Cowper,17580,7917,20037,12964,5554,1821,650,258,218,5777,94313,167076
Cunningham,23899,8126,21107,11724,4101,1261,435,202,150,4561,102530,178088
Dobell,17570,7843,19405,12127,4691,1456,494,206,150,4815,93573,162337
Eden-Monaro,18566,7859,18828,11115,4466,1372,510,172,169,5001,95841,163903
Farrer,16959,6911,17982,13695,6105,2001,788,383,308,6570,101409,173116
Fowler,23553,8793,17834,10645,4699,1924,927,511,690,6169,104473,180214
Gilmore,15700,7252,20427,13199,5329,1552,545,188,155,5077,91816,161247
Grayndler,35828,10434,15721,5880,1876,578,218,118,104,4646,95361,170759
Greenway,19192,10122,20214,8031,2663,887,311,132,130,3058,103823,168565
Hughes,18565,8170,20165,10407,3367,982,348,121,142,3396,95677,161332
